trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-190.73135836525086,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-108.68337309924506,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-96.58290255917838,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,6,-33.69162512371555,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-112.39990886631426,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-154.65086994331725,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,14,2.5402590944719723,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-79.13218974732577,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-43.40600901444165,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-85.37678868289493,"{0: 30, 1: 1, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-12.45397347148188,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-7.621858257351711,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-17.541921388095602,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,16.93043772966258,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-19.699776818367777,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-2.6812468521077837,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,6,-24.345854136627093,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-41.88713590476843,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,4.976449400091131,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-8.328740149842725,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,18,20.503930664723555,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,0,18.98517089216094,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,8,-3.458387288731396,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,17,30.66219851859916,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,9.87123860027843,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,31.13312329204436,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,6,-6.918296000646175,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,8,27.953887656171684,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,37.18385900301628,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,18,21.752390486927123,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
