trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.68408772171112,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,7,-13.007734864776022,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-109.44621921837641,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-135.87243568706378,"{0: 8, 1: 1, 2: 8, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,16,-75.18522285235707,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-42.3437715400256,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-139.80065341050644,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8693582353988059}",35,11,-96.75698574459622,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-18.77360165989111,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-117.38753265123445,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-31.779784851073607,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-54.25913998428912,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,10,-53.217641759749206,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
