trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.48754759626781,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.85108442370557,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.15097783739088,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.54678432565079,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.40273821924596,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.00167126409903,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.59287263540716,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.68325157656482,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.72189792004538,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.101623268544,"{0: 13, 1: 3, 2: 11, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.92103836337512,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.33567115421104,"{0: 10, 1: 6, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.25280218511816,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-185.3366409640007,"{0: 18, 1: 5, 2: 8, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.66299879518487,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.55949894121977,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.88428620988613,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.26414992819116,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,11,-21.79262707929235,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.9073265006393,"{0: 22, 1: 1, 2: 9, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.9323067965915,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.77458615144446,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.74148012880008,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.028870395804965,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.40161131436977,"{0: 15, 1: 1, 2: 4, 3: 4, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.60763433865982,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-204.0496349189395,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.3537494220178,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.20605639043347,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.82717762701873,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
