trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-268.56090148597707,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.48498491195498,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,3,-106.28303503735182,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.66292737283638,"{0: 20, 1: 0, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.3701691228321,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,13,-83.80207131926188,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.6231676918398,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.69934343213187,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,6,-66.3630377410168,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-121.29502492781285,"{0: 24, 1: 5, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-277.37766605567066,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.51968530152404,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.18437811046537,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-14.394609646734613,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-58.598907462409045,"{0: 26, 1: 6, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-23.031984224187262,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-232.23813452028588,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.14939749156876,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.20555013754847,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.46970547780921,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.70320468360566,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-8.415352718363312,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.992145228327665,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.51545959247018,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-209.51270670005198,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.39400952903472,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.92968650588186,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.01728882168631,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.33619087414482,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,11,-30.818828861994234,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
